Mutated_genes,Structural_variants_genes,CNA_genes,DEG_posi,DEG_nega,DEG,Epi_modiffications,All
Prot_P14314,Prot_A0A024R9C2,Prot_P20800,Prot_Q6UBM2,Prot_Q96AX2,Prot_Q6UBM2,Prot_P14314,Prot_P14314
Prot_B4DJQ5,Prot_P28324,Prot_Q06416,Prot_Q9H2R5,Prot_B3KPZ5,Prot_Q9H2R5,Prot_B4DJQ5,Prot_B4DJQ5
Prot_K7ELL7,Prot_Q8IXL1,Prot_Q5W064,Prot_M0R0D7,Prot_B7Z3L0,Prot_M0R0D7,Prot_K7ELL7,Prot_K7ELL7
Prot_Q05707,Prot_A0A024R997,Prot_Q9Y5V0,Prot_Q4G0R4,Prot_Q96DZ9,Prot_Q4G0R4,Prot_Q05707,Prot_Q05707
Prot_Q96SQ9,Prot_F5GY10,Prot_O43692,Prot_Q5JZY3,Prot_A8KAG8,Prot_Q5JZY3,Prot_Q96SQ9,Prot_Q96SQ9
Prot_O43448,Prot_Q99081,Prot_Q8TB36,Prot_Q8N289,Prot_P13945,Prot_Q8N289,Prot_O43448,Prot_O43448
Prot_P51690,Prot_A0A024R5Z0,Prot_B4DL28,Prot_Q99988,Prot_Q96PX6,Prot_Q99988,Prot_P51690,Prot_P51690
Prot_A1L484,Prot_A0A024R5T1,Prot_Q6ISB3,Prot_Q14781,Prot_O95255,Prot_Q14781,Prot_A1L484,Prot_A1L484
Prot_B7Z1M0,Prot_Q8NHM5,Prot_Q96B02,Prot_Q04609,Prot_Q8NBH2,Prot_Q04609,Prot_B7Z1M0,Prot_B7Z1M0
Prot_B7Z6V4,Prot_B4DSN4,Prot_X6REH9,Prot_A0A024R4X6,Prot_Q9ULX5,Prot_A0A024R4X6,Prot_B7Z6V4,Prot_B7Z6V4
Prot_F5GYY5,Prot_Q92597,Prot_Q96FI0,Prot_Q13323,Prot_O75973,Prot_Q13323,Prot_F5GYY5,Prot_F5GYY5
Prot_F5H324,Prot_Q8N959,Prot_O75949,Prot_Q8N4C7,Prot_A0A090N8F8,Prot_Q8N4C7,Prot_F5H324,Prot_F5H324
Prot_Q8TBU7,Prot_B3KWB2,Prot_O95388,Prot_A0A024RB51,Prot_P41586,Prot_A0A024RB51,Prot_Q8TBU7,Prot_Q8TBU7
Prot_Q9H013,NA,Prot_Q7Z682,Prot_P09017,Prot_O43623,Prot_P09017,Prot_Q9H013,Prot_Q9H013
Prot_Q07283,NA,Prot_Q9HDC5,Prot_Q86TF7,Prot_A4D125,Prot_Q86TF7,Prot_Q07283,Prot_Q07283
Prot_P98164,NA,Prot_Q86VR1,Prot_Q9UPY5,Prot_Q6X4U4,Prot_Q9UPY5,Prot_P98164,Prot_P98164
Prot_Q7Z5C0,NA,Prot_P98168,Prot_P28472,Prot_O43597,Prot_P28472,Prot_Q7Z5C0,Prot_Q7Z5C0
Prot_Q7Z5C1,NA,Prot_Q9BUB7,Prot_B2RCW8,Prot_Q5T7N3,Prot_B2RCW8,Prot_Q7Z5C1,Prot_Q7Z5C1
Prot_P50443,NA,Prot_Q96DT7,Prot_X5DQY4,Prot_B1ALP6,Prot_X5DQY4,Prot_P50443,Prot_P50443
Prot_Q96RW7,NA,Prot_Q9H9H3,Prot_O76062,Prot_Q96JJ6,Prot_O76062,Prot_Q96RW7,Prot_Q96RW7
Prot_A2I2P0,NA,Prot_A0A0A0MTC5,Prot_A0A024R577,Prot_P08709,Prot_A0A024R577,Prot_A2I2P0,Prot_A2I2P0
Prot_Q16526,NA,Prot_Q9NUL3,Prot_Q96C90,Prot_B4DPM2,Prot_Q96C90,Prot_Q16526,Prot_Q16526
Prot_A0A024R5K1,NA,Prot_E9PH62,Prot_Q5T5X7,Prot_F5H8B0,Prot_Q5T5X7,Prot_A0A024R5K1,Prot_A0A024R5K1
Prot_Q9BR76,NA,Prot_A0A0A0MTC6,Prot_Q96S95,Prot_Q03828,Prot_Q96S95,Prot_Q9BR76,Prot_Q9BR76
Prot_P20930,NA,Prot_A0A0A0MTC4,Prot_A0A087WVR4,Prot_A6NGG8,Prot_A0A087WVR4,Prot_P20930,Prot_P20930
Prot_Q7Z5N4,NA,Prot_A8K276,Prot_P01106,Prot_B7Z831,Prot_P01106,Prot_Q7Z5N4,Prot_Q7Z5N4
Prot_Q8IYB4,NA,Prot_F8VPI7,Prot_Q96CP7,Prot_A0A024QYX2,Prot_Q96CP7,Prot_Q8IYB4,Prot_Q8IYB4
Prot_A5PLN9,NA,Prot_Q4LE57,Prot_Q8TE73,Prot_Q9NZH0,Prot_Q8TE73,Prot_A5PLN9,Prot_A5PLN9
Prot_Q86VF2,NA,Prot_A0A0A0MTD1,Prot_Q9BPX3,Prot_Q8IUU5,Prot_Q9BPX3,Prot_Q86VF2,Prot_Q86VF2
